asin,price
0307142493,1.99
0738920762,5.99
0764003828,14.95
0767023765,13.99
0767726227,17.98
076780192X,4.39
0767804325,8.95
0767805712,21.95
0767817486,7.38
0767809726,9.98
0767817648,10.7
0767809254,0.35
0767815335,12.99
0767818105,7.19
0767817664,7.99
0767819454,10.99
0767819462,0.88
0767824555,9.96
0767821807,22.99
0767827686,49.99
0767817737,28.49
0767824571,19.47
0767826728,3.25
0767803434,6.88
0767834739,19.49
0767836359,7.98
0767839277,5.99
0767821610,23.94
0767839129,7.99
0780021088,18.64
0780021932,46.0
0780022319,45.68
0780023447,5.0
078060718X,24.98
0780620496,5.0
0780621832,11.98
0780622383,4.94
0780622537,16.88
0780623614,10.98
0780626702,13.99
0780626699,3.99
0782006752,6.74
0782008372,5.99
0782010040,11.95
078201061X,49.81
0783111509,30.0
0783112750,9.99
0783114907,5.98
0783116926,5.98
0783116640,8.99
0783217048,11.48
0783114729,24.25
078322561X,8.64
0783211694,14.99
0783226853,9.96
0783226799,8.94
0783227892,7.99
078322740X,12.84
0783226985,9.96
078322687X,8.89
0783229399,9.89
0783227930,7.98
0783226993,58.93
0783229747,2.45
0783230486,9.96
078322995X,4.99
078322947X,13.99
0783230346,9.96
0783230427,7.1
0783235615,9.25
0783235674,6.99
0783239955,43.54
0783240066,24.98
0783235410,7.27
0783235380,9.22
0783227361,8.9
0783241313,9.99
0783243499,12.57
0783234287,7.99
0783241569,2.66
0784011532,7.97
0784011648,29.91
0784013470,7.96
0784011680,28.99
0788606344,19.62
0788812467,9.95
0788814664,16.65
0788802194,15.98
0788821075,7.75
0788815474,5.99
0788861956,9.89
0790724960,9.99
0790725657,7.99
0790729342,14.98
0790729644,15.0
0790729989,16.77
0790729628,24.95
0790729377,5.5
0790729733,11.9
0790731614,6.08
0790729709,18.86
079072961X,7.22
0790731517,7.84
0790732149,19.95
0790736527,9.96
0790733226,15.79
079073463X,9.98
0790740281,3.96
0790740451,3.39
0790741067,14.99
0790743442,7.45
0790745003,19.99
0790744546,14.77
0790747693,7.47
0790748193,6.98
0790744236,9.49
0790742462,29.9
0790744813,3.99
0790750414,2.44
079074676X,19.99
079079568X,15.95
0790751445,8.08
0792102320,13.97
0792145496,8.7
0792110188,9.85
0792151712,8.49
0792153189,8.03
0792160347,14.99
0792153456,19.99
0792166523,10.49
0792166736,27.5
0792833201,17.5
0792834976,3.33
0792836030,9.95
0792838947,40.79
0792834917,7.99
0792838955,9.95
0792838726,6.49
0792839129,6.85
0792839072,22.25
0792840119,10.99
0792841840,7.97
0792841980,9.98
0792842162,10.95
0792842111,2.44
0792842006,4.79
0792841409,3.99
0792842626,4.95
0792843894,6.49
0792844033,19.95
0792843800,11.87
0792838661,3.94
0792844645,9.89
0792843991,15.97
0792845242,8.99
0792844718,7.95
079284565X,14.99
0792846133,8.17
0792845552,28.52
079284209X,5.0
0793961009,9.75
0793906091,17.28
0793984297,8.08
0800112652,6.59
0800121260,4.0
0800114051,12.0
0800129784,2.99
0800139062,24.39
0800141709,7.38
0800115066,17.41
0800141741,9.36
0800141660,9.96
093085280X,16.18
1419815644,72.95
1559408677,28.98
1560689994,20.95
1562196367,6.99
1566053986,14.99
1572523018,12.39
1572522747,86.67
1572522550,8.99
1573306932,9.98
1573306983,9.99
1573309982,22.98
157362408X,39.95
1573623903,9.99
1573624101,9.79
157362389X,6.59
1573628042,14.98
1573624802,14.53
1573624071,6.59
1573626163,14.95
1574922807,2.56
1574920855,9.99
1574928228,8.99
1577133196,4.39
1591259886,23.97
1896306993,8.79
1936488191,8.99
630014738X,14.98
6300147355,10.56
6300147789,3.99
6300147967,29.95
6300147444,8.98
6300158764,4.99
6300158772,1.99
630016411X,9.96
6300175170,18.99
6300181375,2.49
6300181510,5.82
6300180204,4.95
6300181731,15.07
6300182304,7.77
6300181847,17.77
6300182517,10.95
6300182738,3.22
6300181545,3.89
630018305X,10.9
6300183513,8.95
6300183920,5.48
6300183432,17.77
6300184242,9.99
6300181987,12.77
6300185176,9.97
6300184269,19.95
6300185125,6.51
6300185370,37.77
6300183033,13.49
6300185974,4.14
6300185788,22.74
6300185443,19.99
6300208591,14.95
6300189856,5.97
6300209369,14.86
6300186016,8.99
6300209296,14.4
6300185117,6.49
630021320X,8.9
6300208672,6.49
6300208060,6.49
6300213749,4.99
6300213803,5.79
6300214028,5.02
6300214184,6.49
6300213781,7.99
6300214052,17.77
6300214338,12.33
6300214222,3.5
6300213927,24.98
6300214680,1.0
6300214087,29.99
6300214567,14.85
6300214559,5.99
6300215520,5.38
6300214117,5.99
6300215695,9.49
6300215555,17.99
6300215806,19.94
6300214672,14.88
630021592X,29.95
6300215857,28.99
6300215660,17.99
6300214508,3.25
6300214893,15.93
6300214230,29.95
6300214613,6.01
6300215954,9.99
6300215598,4.98
6300214958,14.77
6300216632,4.79
6300216748,9.95
6300216225,24.99
6300215628,12.77
6300216950,35.98
6300216454,5.0
6300216047,18.77
6300216179,7.97
6300230066,19.99
6300246787,17.89
6300216861,24.7
6300218031,12.0
6300247104,8.0
6300247406,10.77
6300247236,8.99
6300247333,12.75
6300247694,10.14
6300246973,9.48
6300248100,10.01
6300247821,5.9
6300247031,19.99
6300249824,4.0
6300247163,10.9
6300249964,9.95
6300248569,14.5
6300247392,0.99
6300250512,8.21
6300247945,4.97
6300249867,7.91
6300251217,8.78
6300268128,18.98
6300267962,1.33
6300268853,4.99
6300267830,7.77
6300268748,14.77
6300269485,44.44
6300269124,12.58
6300269477,12.35
630026968X,36.0
6300269701,10.95
6300269418,8.22
6300269671,17.5
630026906X,12.99
6300270270,19.98
6300270327,4.95
6300270130,10.47
6300269299,6.48
630027182X,6.95
6300270297,9.97
6300274268,6.91
6300271706,14.98
6300274586,4.25
6300275310,13.33
6300984869,13.99
6300987485,2.95
6300987531,26.99
6300276945,18.98
6300989003,6.95
6300988805,5.3
6301005783,12.19
6301007883,5.01
6301008618,18.88
6301005740,5.95
6301017072,18.97
6301058283,44.98
6301065565,6.99
6301031458,3.62
6301066162,6.99
6301050886,19.95
6301094999,17.77
6301006798,29.99
6301065557,19.95
6301105931,3.77
6301105915,16.99
6301106490,9.95
6301175220,33.98
6301216121,18.45
6301175239,9.95
6301217861,29.88
6301216156,3.77
6301216210,19.99
6301221486,6.27
6301221494,10.98
630121613X,12.99
6301115538,7.91
6301254899,34.98
6301264177,8.81
6301239598,7.0
6301278429,12.95
6301300548,19.1
6301302982,3.0
6301302990,12.92
6301325540,1.65
6301390768,8.5
6301393945,4.98
6301394747,5.92
6301398912,2.99
6301408977,24.99
6301408926,6.99
6301412761,10.99
6301374290,6.99
6301423941,6.76
6301440056,7.77
6301390725,12.95
6301442768,6.77
6301432827,9.45
6301505638,7.47
6301514025,13.5
6301491920,19.95
630150528X,5.95
6301480473,8.19
630154028X,19.95
630152859X,57.77
6301570723,22.98
6301589106,9.99
6301587383,7.72
6301590740,10.46
6301586026,5.99
6301599225,23.0
6301608534,9.99
6301661737,7.99
6301662954,12.94
6301666569,19.97
6301691687,4.59
6301706811,9.98
630170648X,22.13
6301720555,19.95
6301720539,49.95
6301730038,4.49
6301758641,12.99
6301736303,1.89
630176031X,0.05
6301777476,13.99
6301771435,94.95
6301718275,7.99
630178541X,12.98
6301797949,3.12
6301777387,5.69
6301798201,1.77
6301798562,19.77
6301788508,12.95
6301798643,5.53
6301797973,6.49
6301798805,3.28
6301798740,8.5
630179799X,4.44
6301801253,9.96
6301802322,5.99
6301802535,5.99
6301798066,2.99
6301801202,11.97
6301805615,14.23
6301810678,1.98
6301815807,13.95
6301816072,9.94
6301826558,27.77
6301863194,4.99
6301903242,33.98
6301912373,11.55
6301914090,7.93
6301868684,14.95
6301928180,4.94
6301930614,10.0
6301931726,8.79
6301942647,23.88
6301945301,7.5
6301954890,8.94
6301959728,5.95
6301963717,9.89
6301964187,26.29
630195517X,14.35
6301965663,14.98
6301963725,12.77
6301964314,9.99
6301964306,5.88
6301964209,7.98
6301966090,9.99
6301964179,10.99
6301966465,24.95
6301963660,12.77
6301965965,4.55
6301966554,2.64
6301966449,9.99
6301964144,4.99
6301966899,2.25
630196697X,11.99
6301967720,4.99
6301967380,12.0
6301967070,5.5
6301967712,39.95
6301965876,4.73
6301968964,3.4
6301968824,7.99
6301966376,44.26
6301967690,4.69
6301967275,23.95
6301967801,11.49
6301968891,29.95
6301967283,15.99
6301969561,13.7
6301967569,12.99
6301971280,2.94
6301969316,8.0
6301969081,13.0
6301971345,6.59
6301972341,9.99
6301971191,3.98
6301971531,4.93
630197204X,14.92
6301969413,17.17
6301969294,8.93
6301969111,7.77
6301972279,13.79
6301973178,9.99
6301973232,12.97
6301973313,14.8
6301977181,25.0
6301977750,8.0
6301978315,12.52
6301972252,9.93
6301978617,3.38
6301978749,14.72
6301978196,12.99
6301978374,10.0
6301978560,17.77
6301986105,21.95
6301996100,10.96
630197882X,12.95
6302000610,15.99
6302000815,12.0
6302032237,6.49
6302033020,2.89
6302032199,24.95
6302038324,9.91
6302068983,5.69
6302078075,38.8
6302091632,14.4
6302098440,5.53
6302101220,24.99
6302111285,14.92
6302096316,4.75
6302109612,18.52
6302098424,6.9
6302120551,4.73
6302120608,12.92
6302101743,11.99
630212381X,2.79
6302096243,12.77
6302077877,10.0
6302120616,14.4
6302098505,1.99
6302078024,6.5
6302121582,9.8
6302120527,9.98
6302132894,24.88
6302148332,12.9
6302150930,19.38
6302156815,12.0
6302152496,4.9
6302158095,4.75
6302158176,8.75
6302149487,15.99
6302168465,7.77
6302177421,4.9
6302182840,11.5
6302213142,14.99
6302224322,22.99
6302206294,5.95
630223168X,2.85
6302241081,4.87
6302241693,12.92
6302238064,19.99
6302238331,4.9
6302259096,17.99
630225678X,24.99
6302260973,9.59
6302256690,2.0
6302269431,7.99
6302272548,6.5
6302271991,4.98
6302280206,25.0
6302281725,10.0
630228354X,12.99
6302283620,7.37
630228175X,11.28
6302281822,13.33
6302289017,18.64
630229357X,2.28
6302289041,9.99
6302289009,7.77
6302287448,7.5
6302305950,4.99
6302308577,15.89
6302309522,3.5
6302309514,10.77
6302281830,19.18
6302320410,4.9
630236308X,14.99
6302363098,9.95
6302360951,17.1
6302380294,7.99
630238074X,5.98
6302409365,11.0
6302409829,7.77
6302413435,16.29
6302413737,4.86
630242335X,3.99
6302413419,8.67
6302424887,11.99
6302424909,4.34
6302426200,13.01
630243078X,7.24
6302428084,29.99
6302424879,25.0
6302428122,1.74
6302439485,11.21
6302452929,9.78
6302450187,7.49
6302456991,10.89
6302418828,5.69
6302457025,6.99
6302469090,2.44
6302458900,12.75
6302470021,19.99
6302462762,4.99
6302477379,11.99
6302484405,2.7
6302479487,9.75
6302484286,6.79
6302484413,10.0
6302484499,7.99
630248443X,3.59
6302485010,7.3
6302482712,4.99
6302481791,8.89
6302484383,7.99
6302491975,29.95
6302503515,9.95
6302507596,14.0
630251004X,6.98
6302510007,12.0
630251018X,2.35
6302534372,4.99
6302541786,6.99
6302526795,3.94
6302548748,12.95
6302544289,8.99
6302587263,0.99
6302593220,10.73
6302588626,4.31
630260494X,34.44
6302595770,9.95
6302620740,7.77
6302637899,7.82
630264187X,7.1
6302641969,14.95
6302640504,9.99
630264223X,7.44
6302650046,13.99
6302656125,16.95
630266232X,9.95
6302655897,9.05
6302662745,7.57
6302676711,17.76
6302681685,9.0
