asin,price
#1,0.02
#2,0.02
#3,0.02
#4,0.02
#5,0.02
#6,0.02
#7,0.02
#8,0.02
#9,0.02
#10,0.02
#11,0.02
#12,0.02
#13,0.02
#14,0.02
#15,0.02
#16,0.02
#17,0.02
#18,0.02
#19,0.02
#20,0.02
#21,0.02
#22,0.02
#23,0.02
#24,0.02
#25,0.02
#26,0.02
#27,0.02
#28,0.02
#29,0.02
#30,0.02
#31,0.02
#32,0.02
#33,0.02
#34,0.02
#35,0.02
#36,0.02
#37,0.02
#38,0.02
#39,0.02
#40,0.02
#41,0.02
#42,0.02
#43,0.02
#44,0.02
#45,0.02
#46,0.02
#47,0.02
#48,0.02
#49,0.02
#50,0.02
#51,0.02
#52,0.02
#53,0.02
#54,0.02
#55,0.02
#56,0.02
#57,0.02
#58,0.02
#59,0.02
#60,0.02
#61,0.02
#62,0.02
#63,0.02
#64,0.02
#65,0.02
#66,0.02
#67,0.02
#68,0.02
#69,0.02
#70,0.02
#71,0.02
#72,0.02
#73,0.02
#74,0.02
#75,0.02
#76,0.02
#77,0.02
#78,0.02
#79,0.02
#80,0.02
#81,0.02
#82,0.02
#83,0.02
#84,0.02
#85,0.02
#86,0.02
#87,0.02
#88,0.02
#89,0.02
#90,0.02
#91,0.02
#92,0.02
#93,0.02
#94,0.02
#95,0.02
#96,0.02
#97,0.02
#98,0.02
#99,0.02
#100,0.02
#101,0.02
#102,0.02
#103,0.02
#104,0.02
#105,0.02
#106,0.02
#107,0.02
#108,0.02
#109,0.02
#110,0.02
#111,0.02
#112,0.02
#113,0.02
#114,0.02
#115,0.02
#116,0.02
#117,0.02
#118,0.02
#119,0.02
#120,0.02
#121,0.02
#122,0.02
#123,0.02
#124,0.02
#125,0.02
#126,0.02
#127,0.02
#128,0.02
#129,0.02
#130,0.02
#131,0.02
#132,0.02
#133,0.02
#134,0.02
#135,0.02
#136,0.02
#137,0.02
#138,0.02
#139,0.02
#140,0.02
#141,0.02
#142,0.02
#143,0.02
#144,0.02
#145,0.02
#146,0.02
#147,0.02
#148,0.02
#149,0.02
#150,0.02
#151,0.02
#152,0.02
#153,0.02
#154,0.02
#155,0.02
#156,0.02
#157,0.02
#158,0.02
#159,0.02
#160,0.02
#161,0.02
#162,0.02
#163,0.02
#164,0.02
#165,0.02
#166,0.02
#167,0.02
#168,0.02
#169,0.02
#170,0.02
#171,0.02
#172,0.02
#173,0.02
#174,0.02
#175,0.02
#176,0.02
#177,0.02
#178,0.02
#179,0.02
#180,0.02
#181,0.02
#182,0.02
#183,0.02
#184,0.02
#185,0.02
#186,0.02
#187,0.02
#188,0.02
#189,0.02
#190,0.02
#191,0.02
#192,0.02
#193,0.02
#194,0.02
#195,0.02
#196,0.02
#197,0.02
#198,0.02
#199,0.02
#200,0.02
#201,0.02
#202,0.02
#203,0.02
#204,0.02
#205,0.02
#206,0.02
#207,0.02
#208,0.02
#209,0.02
#210,0.02
#211,0.02
#212,0.02
#213,0.02
#214,0.02
#215,0.02
#216,0.02
#217,0.02
#218,0.02
#219,0.02
#220,0.02
#221,0.02
#222,0.02
#223,0.02
#224,0.02
#225,0.02
#226,0.02
#227,0.02
#228,0.02
#229,0.02
#230,0.02
#231,0.02
#232,0.02
#233,0.02
#234,0.02
#235,0.02
#236,0.02
#237,0.02
#238,0.02
#239,0.02
#240,0.02
#241,0.02
#242,0.02
#243,0.02
#244,0.02
#245,0.02
#246,0.02
#247,0.02
#248,0.02
#249,0.02
#250,0.02
#251,0.02
#252,0.02
#253,0.02
#254,0.02
#255,0.02
#256,0.02
#257,0.02
#258,0.02
#259,0.02
#260,0.02
#261,0.02
#262,0.02
#263,0.02
#264,0.02
#265,0.02
#266,0.02
#267,0.02
#268,0.02
#269,0.02
#270,0.02
#271,0.02
#272,0.02
#273,0.02
#274,0.02
#275,0.02
#276,0.02
#277,0.02
#278,0.02
#279,0.02
#280,0.02
#281,0.02
#282,0.02
#283,0.02
#284,0.02
#285,0.02
#286,0.02
#287,0.02
#288,0.02
#289,0.02
#290,0.02
#291,0.02
#292,0.02
#293,0.02
#294,0.02
#295,0.02
#296,0.02
#297,0.02
#298,0.02
#299,0.02
#300,0.02
#301,0.02
#302,0.02
#303,0.02
#304,0.02
#305,0.02
#306,0.02
#307,0.02
#308,0.02
#309,0.02
#310,0.02
#311,0.02
#312,0.02
#313,0.02
#314,0.02
#315,0.02
#316,0.02
#317,0.02
#318,0.02
#319,0.02
#320,0.02
#321,0.02
#322,0.02
#323,0.02
#324,0.02
#325,0.02
#326,0.02
#327,0.02
#328,0.02
#329,0.02
#330,0.02
#331,0.02
#332,0.02
#333,0.02
#334,0.02
#335,0.02
#336,0.02
#337,0.02
#338,0.02
#339,0.02
#340,0.02
#341,0.02
#342,0.02
#343,0.02
#344,0.02
#345,0.02
#346,0.02
#347,0.02
#348,0.02
#349,0.02
#350,0.02
#351,0.02
#352,0.02
#353,0.02
#354,0.02
#355,0.02
#356,0.02
#357,0.02
#358,0.02
#359,0.02
#360,0.02
#361,0.02
#362,0.02
#363,0.02
#364,0.02
#365,0.02
#366,0.02
#367,0.02
#368,0.02
#369,0.02
#370,0.02
#371,0.02
#372,0.02
#373,0.02
#374,0.02
#375,0.02
#376,0.02
#377,0.02
#378,0.02
#379,0.02
#380,0.02
#381,0.02
#382,0.02
#383,0.02
#384,0.02
#385,0.02
#386,0.02
#387,0.02
#388,0.02
#389,0.02
#390,0.02
#391,0.02
#392,0.02
#393,0.02
#394,0.02
#395,0.02
#396,0.02
#397,0.02
#398,0.02
#399,0.02
#400,0.02
#401,0.02
#402,0.02
#403,0.02
#404,0.02
#405,0.02
#406,0.02
#407,0.02
#408,0.02
#409,0.02
#410,0.02
#411,0.02
#412,0.02
#413,0.02
#414,0.02
#415,0.02
#416,0.02
#417,0.02
#418,0.02
#419,0.02
#420,0.02
#421,0.02
#422,0.02
#423,0.02
#424,0.02
#425,0.02
#426,0.02
#427,0.02
#428,0.02
#429,0.02
#430,0.02
#431,0.02
#432,0.02
#433,0.02
#434,0.02
#435,0.02
#436,0.02
#437,0.02
#438,0.02
#439,0.02
#440,0.02
#441,0.02
#442,0.02
#443,0.02
#444,0.02
#445,0.02
#446,0.02
#447,0.02
#448,0.02
#449,0.02
#450,0.02
#451,0.02
#452,0.02
#453,0.02
#454,0.02
#455,0.02
#456,0.02
#457,0.02
#458,0.02
#459,0.02
#460,0.02
#461,0.02
#462,0.02
#463,0.02
#464,0.02
#465,0.02
#466,0.02
#467,0.02
#468,0.02
#469,0.02
#470,0.02
#471,0.02
#472,0.02
#473,0.02
#474,0.02
#475,0.02
#476,0.02
#477,0.02
#478,0.02
#479,0.02
#480,0.02
#481,0.02
#482,0.02
#483,0.02
#484,0.02
#485,0.02
#486,0.02
#487,0.02
#488,0.02
#489,0.02
#490,0.02
#491,0.02
#492,0.02
#493,0.02
#494,0.02
#495,0.02
#496,0.02
#497,0.02
#498,0.02
#499,0.02
#500,0.02
#501,0.02
#502,0.02
#503,0.02
#504,0.02
#505,0.02
#506,0.02
#507,0.02
#508,0.02
#509,0.02
#510,0.02
#511,0.02
#512,0.02
#513,0.02
#514,0.02
#515,0.02
#516,0.02
#517,0.02
#518,0.02
#519,0.02
#520,0.02
#521,0.02
#522,0.02
#523,0.02
#524,0.02
#525,0.02
#526,0.02
#527,0.02
#528,0.02
#529,0.02
#530,0.02
#531,0.02
#532,0.02
#533,0.02
#534,0.02
#535,0.02
#536,0.02
#537,0.02
#538,0.02
#539,0.02
#540,0.02
#541,0.02
#542,0.02
#543,0.02
#544,0.02
#545,0.02
#546,0.02
#547,0.02
#548,0.02
#549,0.02
#550,0.02
#551,0.02
#552,0.02
#553,0.02
#554,0.02
#555,0.02
#556,0.02
#557,0.02
#558,0.02
#559,0.02
#560,0.02
#561,0.02
#562,0.02
#563,0.02
#564,0.02
#565,0.02
#566,0.02
#567,0.02
#568,0.02
#569,0.02
#570,0.02
#571,0.02
#572,0.02
#573,0.02
#574,0.02
#575,0.02
#576,0.02
#577,0.02
#578,0.02
#579,0.02
#580,0.02
#581,0.02
#582,0.02
#583,0.02
#584,0.02
#585,0.02
#586,0.02
#587,0.02
#588,0.02
#589,0.02
#590,0.02
#591,0.02
#592,0.02
#593,0.02
#594,0.02
#595,0.02
#596,0.02
#597,0.02
#598,0.02
#599,0.02
#600,0.02
#601,0.02
#602,0.02
#603,0.02
#604,0.02
#605,0.02
#606,0.02
#607,0.02
#608,0.02
#609,0.02
#610,0.02
#611,0.02
#612,0.02
#613,0.02
#614,0.02
#615,0.02
#616,0.02
#617,0.02
#618,0.02
#619,0.02
#620,0.02
#621,0.02
#622,0.02
#623,0.02
#624,0.02
#625,0.02
#626,0.02
